,Event,Perf.,W,N,Athlete(s),Nat.,Date,Meeting,Location,Ctry.,R,V,P,duration,gender
45,4×200 m relay,1:18.63,,,Nickel AshmeadeWarren WeirJermaine BrownYohan Blake,JAM,24 May 2014,World Relays,Nassau,BAH,[30],​,P,78000.0,male
46,4×400 m relay,2:54.29,,,Andrew ValmonQuincy WattsButch ReynoldsMichael Johnson,USA,22 Aug 1993,World Championships,Stuttgart,GER,[g] [31],​,P,174000.0,male
47,4×800 m relay,7:02.43,,,Joseph MutuaWilliam YiampoyIsmael KombichWilfred Bungei,KEN,25 Aug 2006,Memorial Van Damme,Brussels,BEL,,​,,422000.0,male
48,Distance medley relay,9:15.50,,[h],Kyle MerberBrycen SpratlingBrandon JohnsonBen Blankenship,USA,3 May 2015,World Relays,Nassau,BAH,[32],,,555000.0,male
49,4×1500 m relay,14:22.22,,,Collins CheboiSilas KiplagatJames Kiplagat MagutAsbel Kiprop,KEN,25 May 2014,World Relays,Nassau,BAH,[33],​,,862000.0,male
50,Road relay42.195 km,1:57:06.00,,[i],Josephat NdambiriMartin MathathiDaniel Muchunu MwangiMekubo MogusuOnesmus NyerreJohn Kariuki,KEN,23 Nov 2005,Chiba Ekiden,Chiba,JPN,,,,7026000.0,male
0,100 m,10.49,0.0,[j],Florence Griffith Joyner,USA,16 Jul 1988,US Olympic Trials,Indianapolis,USA,,​,P,10000.0,female
1,200 m,21.34,1.3,,Florence Griffith Joyner,USA,29 Sep 1988,Olympic Games,Seoul,KOR,,​,P,21000.0,female
2,400 m,47.60,,,Marita Koch,GDR,6 Oct 1985,World Cup,Canberra,AUS,,​,P,47000.0,female
3,800 m,1:53.28,,,Jarmila Kratochvílová,TCH,26 Jul 1983,,Munich,FRG,,​,P,113000.0,female
4,1000 m,2:28.98,,,Svetlana Masterkova,RUS,23 Aug 1996,Memorial Van Damme,Brussels,BEL,,​,P,148000.0,female
